text,target
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"@cptncutleg I don't think ""respect"" is precisely what they're after, myself. ""Capitulation"", maybe. @Spacekatgal @femfreq",0
@femfreq @egisinj stop being a bitch. Its life people make death threats so what. you won't change anything your just as nothing as i am.,1
"RT @pixelgoth: Anita and Jon of @femfreq are exactly what feminism needs in popular media and gaming, and fuckin' God Bless them for kickin…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"@femfreq so basically, you're a cunt. I mean if it walks like a duck and quacks like a duck. Take that title and own your ""cuntage""",1
@Azure190 @thewtfmagazine @femfreq >400k >I need a new computer I hope that bitch gets cut in half by a goddamn train.,1
@femfreq we are the games you stupidly delusional cunt...,1
@femfreq oi fuck you mother fucker slut bitch female ass hoe slut fuck you show me your tits,1
"@femfreq Let me ask you kindly, anita: Get the fuck out of the gaming community, you are like a parasite, would you?",1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@femfreq you're a fucking bitch, EVERYSINGLE FKN PERSON who plays online gets DEATH THREATS!, and NO one cares, its NOT a big deal.",1
"@KristynMC83 @iam8bit @elizbrary @femfreq @marieclaire ""Its not feminist and man hating enough for me"" is that what you're saying?",0
"And ahhhh, looky here what I found....guess who's now following Gail? What's up with that, @femfreq?? http://t.co/Srvvo1NryK",0
"RT @firrabbit: so that's the troll but where are the girls?

@iam8bit @femfreq @marieclaire",0
im going to come to your house and violently rape you in front of your family @femfreq,1
@megamandaplays @femfreq Welcome! :D,0
@nascar_jesus @femfreq @radicalbytes I'm laughing at you dude,0
"@cptncutleg Brianna Wu didn't ""respect and talk to"" her audience? People buy her game. She didn't respect #GamerGate. @Spacekatgal @femfreq",0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"@_RogueSt4r @SpaceKatGal @TheQuinnspiracy @Femfreq @TimOfLegend @alexlifschitz @PHIL_FISH @Daddy_Warpig 

FIrst World Problems is good too.",0
I need to get my hands on the @femfreq porn parody. I have a secret crush on Anita. I want her to make my sandwiches for the rest of my life,1
@femfreq Don't take away my Grand Funk. I will grab my 12 gauge and shove it so far your Hollywood arse...,1
@schooltrashers @femfreq who are you to dictate men's Beaty standards?,0
RT @theLEOpirate: Maybe @femfreq should handle mean tweets the same way she handles legitimate critiques: ignore them completely #GamerGate,0
"I wonder if @ABC will have a news segment called ""How it feels like to be a lying cunt"" and invite @Femfreq back on.",1
I hate Fem Nazis. your just doing this for attention. its a video game sooo.. get the fuck over it. @femfreq,1
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"@ femfreq Hope she dies really soon, if not soon enough, then I'll kill her.",1
@femfreq I'm gonna beat you with a sock of quarters and your supporters if you come to my town,1
RT @doloyeung: You can make princess peach an acne ridden land whale if you like .@femfreq . Ill just grit my teeth and masturbate anyway #…,1
"@femfreq @vincentdonofrio Fuck you and your supporters. Oh and btw, we're gunning for you ;)",1
@femfreq so we dont get to see the whole conversation? We just take your word for it that it happened that way. Not really convincing me,0
"@femfreq More proof ethics of rep problem is real: #ISIS uses games to recruit, eg GTA terror simulation http://t.co/70FIQHZ3YV",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@femfreq Shut the fuck up you fucking cunt and make me a sandwich.,1
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
@femfreq Eyo fucking slut. If you will ever come to Europe I will rape you into oblivion,1
@femfreq please die,1
"@femfreq fuck you, bitch",1
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
@UnseenPerfidy @femfreq FOREVER.,0
"RT @femfreq: ""In Violent Video Games, the Gameplay Sends its Own Message"" by @carolynmichelle writing for @KQEDarts: http://t.co/qwHsKNlcle",0
"RT @MeninistFreq: ""We must ""stand up"" to harassment""

What about people in wheelchairs?

Proof that @femfreq is an ableist.

#GamerGate htt…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
@StartlinglyOkay yeah I mean look at @femfreq she was never a 'gamer' as she put it,1
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"@stonemirror @Spacekatgal @femfreq However, if you can teach her to follow their lead and become a professional victim, she can make bank.",1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"@femfreq @carolynmichelle @KQEDarts The last sentence is resonating a lot with me. Also, thanks for mention of the browser-based game!",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
@femfreq if you really got death threats you dumb bitch i wish you died,1
"@femfreq Good God, just shut the fuck up. For once in your life, shut the fuck up. You're not worth the breath you breathe. It's all hot air",1
i dont even play video games like she talks aobut and i can tell there's something wrong with this bitch...@femfreq your a sin...,1
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@femfreq Just putting it out there, you deserve all those death threats you are getting.",1
"@femfreq listen to ""The ART of WAR"" a song about women empowerment. https://t.co/oHYHKWsml4 #girlpower",0
RT @TraumaOfBirth: [Geena Davis &amp; Reese Witherspoon Spearheads Equality for Women in Film] http://t.co/MjTqNuXYjm @brentwoodfest  @RWithers…,0
@femfreq hoe,1
"@femfreq *ahem* You do realize that by ""speaking out for all women,"" you are being a complete c-u-n-t, right?",1
@femfreq god I wish you would just die,1
the only question left is will @femfreq be raped first or killed first or both or ?,1
@femfreq I hve never said this before to someone but please just die,1
@femfreq YOU STUPID FUCKING CUNT IMA FUCKING RAPE U ALLLL THE WAY TP 2069 SWEATIE FUK WE ME MY NIGGA I NAC FER DAYS O WAIT U DONT KNOW A NAC,1
"@psl_ not one of the options, only Fb, Twttr, G+ and Y! are allowed. I'm doing it on Twitter. My last bit is on @femfreq and doxxing.",0
@femfreq @Nightline please shut the fuck up but wait you'll make a article about how I threatened you and act like I'm satan well bitch u r,1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@femfreq You are a despicable whore :),1
RT @flantz: After her talk @femfreq had one question: where's the Killer Queen machine??,0
"@femfreq yeah, messages from accounts you created yourself don't count. Try again.",1
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"@daliadaudelin Y' know what's ""laughable""? Your ignorance. @femfreq @Spacekatgal",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@iam8bit @femfreq @marieclaire Flip-side ""Pro-Equality Gamers Vs. Feminist Scam-Artist""",0
@radicalbytes fuck you twat,1
"RT @theLEOpirate: Hey @josswhedon, you should watch this before continuing to associate with @femfreq &amp; @radicalbytes #GamerGate http://t.c…",0
Dear #GamerGate: What do I tell a 7th-grade girl who tells me she doesn't want what happens to @spacekatgal and @femfreq to happen to her?,0
@femfreq fucking bitch you dont deserve rights feminist need to good to jail for existing #MeninistTwitter,1
"Fuck Anita Sarkeesian just because she and her idiot cult would interpret a tweet saying ""Fuck Anita Sarkeesian"" as ""harassment""",1
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"RT @femfreq: Dude #1: Ignores point.
Me: Links to clip of me explaining point.
Dude #2: Calls me a cunt for not explaining point. http://t.…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
@femfreq A degree in something doesn't mean you understand it. You have to live it. A degree only goes to show that you know how to recite.,0
@femfreq look plz stop knocking Jehovah's Witness lady I do not want ur pamphlet. I'm a voodoo practitioner for Christ s...DOH!!!,1
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
@iam8bit @femfreq #GamerGate is amazing. And you guys suck. We just want to play games without assholes protesting that games are evil,0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"@femfreq you deserve every single threat you get, what a stupid bitch, most people already understand that all you want is money.whore",1
@Thinkertron2000 @femfreq  Clementine from the walking dead,0
"@femfreq is not always right. Theories can be wrong, can be improved, can be refuted. So let's talk about her theories and stop threatening.",0
"@seattle_rainbow @iam8bit @femfreq @marieclaire we have the right to call people out in the internet, unfortunately everyone is vulnerable",0
"RT @cptncutleg: @stonemirror @Spacekatgal @femfreq If you respect and talk with your audience, you'll be fine.",0
@femfreq pll-zzzzzzzzzzzzzzzzzzzzzzzzz kill yourself u are ruining the community for all genders dummmmmmmmmmmmy,1
@femfreq @ABC2 @GoodGameTV Your*,0
@stonemirror @femfreq @Spacekatgal Men in the public eye need to expect harassment too. It's laughable to call this unique to women.,0
@EqualityEd @DJCPI @dwerkopp @kwaioMax @iam8bit @femfreq @marieclaire they and feminists were attacking me long before I made a twitter,1
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"@femfreq I'm sorry. I know you have pride and respect for women. Response to you is still no. #CultureProblems :-(

http://t.co/dJ11IDY5hO",1
"@antifempsycho2 @DJCPI @dwerkopp @kwaioMax @iam8bit @femfreq @marieclaire 
We need diversity &amp; pluralism to pursue social justice ethically.",0
"@daliadaudelin The video game industry had $10B in sales. That's ""toppled""? They're not toppling too effectively. @femfreq @Spacekatgal",0
@stonemirror @Spacekatgal @femfreq Simple: don't be dishonest in order to make money or get publicity.,0
"@femfreq Wait, I though @radicalbytes said John Stewart was bad for not hiring enough women on his writing staff?",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@MelodyHensley @washingtonpost If it deals with @femfreq I will care if it doesn't I don't really care :),0
@femfreq your one dumb cunt and am going doxs you then going to your home and kill you slowly,1
RT @femfreq: Here's the video of me going head-to-head with @StephenAtHome over women in video games last night. https://t.co/Q5952R3Aac,0
@femfreq hey @femfreq you're fucking great. Please keep at it. All the people I care about are depending on it.,0
"You aren't being harassed @femfreq and you know it. People are disagreeing with you. Cant take the heat, get outta the kitchen.",1
"@femfreq this bitch is such a liar haha. lying about games showing the world they are sexist but in reality, theyre not xD",1
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
@femfreq oh boo hoo stop crying about it you lying son of a bitch,1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@femfreq die please?,1
"@femfreq I kind of agree with you,  but when you talk about anime I don't have the feeling you know what your talking from.",0
#FuckAnitaSarkeesian this bitch needs to shut the fuck up. @femfreq,1
"RT @_RogueSt4r: https://t.co/Jdwrv5QNxv

I found the @SpaceKatGal @TheQuinnspiracy @Femfreq @TimOfLegend @alexlifschitz @PHIL_FISH soundtra…",0
"@DJCPI @dwerkopp @antifempsycho2 @kwaioMax @iam8bit @femfreq @marieclaire 
Feminist attacking egalitarians are why they became anti-feminist",1
"@femfreq You can literally die in a hole, lmao.",1
@femfreq kill yourself you piece of garbage. You shouldn't be able to breathe. Such a waste of oxygen.,1
"@daliadaudelin Now, you're talking simple nonsense. You're just making shit up. @femfreq @Spacekatgal",1
@femfreq Fuck off.,1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"@daliadaudelin What is a woman expected to do to avoid being harassed. Neither @femfreq nor @Spacekatgal is ""batshit insane"".",0
@femfreq Why ruin people gaming experience when you should keep your nose in your own business? Clearly you need to be educated. @KEEMSTARx,1
RT @femfreq: Our friend @imransiddiquee is making a film called Sea of Fog centering stories of people of color. Go help fund him! http://t…,0
"@iam8bit @femfreq @marieclaire Journalists r skilled researchers who, unlike most GGers, don't just look at a blog post or one's conjecture",0
"@GamingMattersUS @femfreq ""harassing"" will continue and accelerate. We're not going to stop until no one will openly admit to being feminist",1
@EscapeVelo @femfreq This goes out to her supporters who expect her to finish projects in a timely manner. https://t.co/OUii6M4yWC,0
"RT @rachelnabors: @sigje I knooooow. She was, as @femfreq would say, the ball in other people's court. She was an object because she was no…",0
"@femfreq well boo fucking hoo, dont you ever get tired of playing the victim card you stupid cunt?",1
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"@femfreq @JimSterling Threats ARE an accepted part of gaming, except in non-cunt lingo its called *trash talk*. But sure, Keep milkin it. ",1
"Here,@femfreq,I fixed it for you:
""In the game of PATREONarchy,fear-based belief in the damsel-in-distress is the ball.""

#GamerGate",1
"@femfreq it's normal. It's part of gaming, stop being such a pussy or I'll rape you.",1
@femfreq fuck you and everything you stand for,1
@femfreq you can qriticue the games... With your slut cunt #rekt,1
@Livelyivy @femfreq no thanks i buy only game whit sexy girl and only if they are naked and bitches coz i like boobs pussy and sexy woman.,1
"RT @EqualityEd: @DJCPI @dwerkopp @antifempsycho2 @kwaioMax @iam8bit @femfreq @marieclaire 
Feminist attacking egalitarians are why they bec…",1
"@daliadaudelin You're dodging the question, I think, or telling me to tell her ""YOU'RE OUTA LUCK, KID."" That right? @femfreq @Spacekatgal",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"@femfreq Fuck you and fuck everything you stand for. You are the shit stain of the gaming community, just leave games the fuck alone.",1
"@iam8bit @femfreq @marieclaire feminism in gaming as a topic will die down because abuse will go away, can't always be a $$$ fad",1
"@femfreq If you take death threats seriously, kill yourself.",1
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
@femfreq kill yourself paki,1
"@stonemirror @femfreq @Spacekatgal No one who causes controversy publicly gets to avoid all harassment. GGers are being swatted, so...",0
@notafanboy1 @HollyFisher723 @bmenyhert @femfreq Not at all. Bunch of ignorant people attacking saying stupid stuff..anyone would block,0
@femfreq im gonna bust dem sugar walls leave an aids load in der,1
@femfreq most women are ugly as fuck without makeup im glad they have to wear it,1
im going to kill you @femfreq,1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@femfreq http://t.co/gvn1YV7O1e ""Even the Ntn'l Abortion Federation is afraid to show what a later abortion looks like""-Dave Andrusko #Pray",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@femfreq i wish i knew you should i could have sex with you and then run you over with my car,1
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"@femfreq ur vids r just of u playing games in the most violent way possible, going against the story. Then crying tht u can do those things.",1
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@femfreq I Hope you fucking Kill yourself Get Ice Skates Split your throat And drink bleach,1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@femfreq good bitch fuck off,1
@femfreq go fuck yourself bitch,1
"@femfreq ,
 Moneygrubbing Opportunist 1: never answers direct questions, blames Dude 1 and Dude 2 for her inability to interact.",0
"@femfreq PLEASE back up your claims,  it's upsetting you ask for money from easily influenced fans of yours, YOU ARE  tricking people",0
@femfreq then shut up! You're ruining all the fun,1
"@femfreq Well done cunt I was suspended not hard to make a new account idiot, females.",1
"@femfreq you're amazing and your strength is admirable. Best of luck, and nothing but success in the future!",0
@Charlie_Jarls @iam8bit @femfreq @marieclaire That's no reason to shrug.,0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
@UnseenPerfidy @femfreq These are people who want to put their fingers in their ears and go LALALA GAMING IS FINE SHUT UP.,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@idontunderstan2 @iam8bit @femfreq @marieclaire professional scam artist.,0
@femfreq So what! People get angry and make a threat in game and 1 hour later their the nicest person in the world! Stop lying to the media!,1
@femfreq @carolynmichelle @KQEDarts shut up Anita gamers won the war you started with them,1
@cptncutleg Does that sound like a reasonable summary to you? That's what I see. / @Spacekatgal @femfreq,0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
@femfreq hope you get raped by a wild pack of niggers,1
"@femfreq Hey, Maybe if you were not a con-artist, Extorting money out of people with your ""Feminism"" You wouldn't get harassed. Cunt.",1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"I can see a resemblance between @femfreq and the Nazis. ""Be like us or face the consequences """,1
"@stonemirror @Spacekatgal @femfreq If you respect and talk with your audience, you'll be fine.",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
I talk about the fat ugly men who are #sexist &amp; hateful. #feminism #feminist #RushLimbaugh @femfreq http://t.co/76R6RQ4Oqh,1
@dislekcia @femfreq kill yourself,1
You're pretty smart for a woman. @femfreq http://t.co/1FcFF48nQX,1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@iam8bit @femfreq @marieclaire I need to see if I can order this edition over here. Definitely not a fan of the title, though.",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"@daliadaudelin So, you're saying that women should just EXPECT to be harassed and suck it up. Is that right? @femfreq @Spacekatgal",0
@femfreq oh hey btw go fuck yourself you dumb fuckin cunt,1
RT @theLEOpirate: Maybe @femfreq should handle mean tweets the same way she handles legitimate critiques: ignore them completely #GamerGate,0
Why can't I shake the feeling that @femfreq is picking Twitter handles out of a hat and shooping together threat screenshots?,1
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@femfreq fuck off,1
Who is the biggest cunt ever -- @femfreq retrospring.net/MrDicksFagball...,1
"Anita and Jon of @femfreq are exactly what feminism needs in popular media and gaming, and fuckin' God Bless them for kicking ass.",0
@femfreq get a goddamn fucking life cunt!! trash my youtube friends like @AlphaOmegaSin shame on you bitch!!!,1
@femfreq please die in a car crash,1
@iam8bit @femfreq @marieclaire because only girls suffer trolls. Suuuuure. This gender bias is a joke,0
@femfreq you should stop your bullshit and try yourself in the porn industry you fucking whore,1
"RT @femfreq: ""In Violent Video Games, the Gameplay Sends its Own Message"" by @carolynmichelle writing for @KQEDarts: http://t.co/qwHsKNlcle",0
how about you get cancer @femfreq,1
@leokira997 @iam8bit @femfreq ok then sorry I might have mis tweeted. Sorry😳,0
"@femfreq You spelled ""Attention-Seeking Whore"" wrong.",1
"@femfreq Well you're still an entitled bitch with a degree and lack of understanding.

So you have that going against you.",1
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
@femfreq listen up you dumb hoe. Go fuck yourself and your shitty sense. Dumb bitch doesnt know anything. Kys.,1
@UnseenPerfidy @femfreq I think this is the most enlightening thing I've read this week re: gator attitude to games https://t.co/03oxkohvOr,0
"@daliadaudelin ""There is no comparing female to male harassment online."" http://t.co/4FNPgbekzY @femfreq @Spacekatgal",0
@femfreq you're a stupid fat cunt die pls?,1
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
@femfreq fuck you're a dumb cunt,1
"@4EverPlayer2 @femfreq ""B...b...but my narrative? NO! I cannot be wrong. I know! I'll send some of my goon squad to change it up for me.""",0
@stonemirror @Spacekatgal @femfreq inviting insult or refusing dialogue while trashing people is a good way to make enemies,0
"@femfreq keep on scamming your followers. threats are part of gaming, always been. Stop tryinng to victimize yourself for money!",1
"@femfreq Aren't you tired of rambling on with misinformation? You use the damsel in distress arguement, despite not having played them.",0
"@femfreq well if it's on the Internet, it must be true. Cunt.",1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@femfreq You talk about slandering but yet you slander the you tube community. Stop being a low life bitch and grow up.,1
@UberFacts @femfreq took notes,0
@femfreq shut the fuck up bitch I'm the lawyer of this community got something to say take it up with me,1
@femfreq Death threats and rape threats are in the culture of gaming... Have you ever played an Online game? Get used to it..,1
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@Rathkor @Spacekatgal @femfreq @TheQuinnspiracy @radicalbytes @srhbutts @BenKuchera @leighalexander @ChrisWarcraft Mate - thats just silly,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@stonemirror @Spacekatgal @femfreq If you stand up for yourself without giving people avenues for attack, you're fine http://t.co/5FQwAqNAoA",0
"@nascar_jesus @avantpope @femfreq @radicalbytes yea, because those two have SO much influence in the game industry. Give me a break",0
"I'm still waiting for @femfreq to talk about Shin Megami Tensei, especially Persona, especially Persona 3, especially Persona 3 Portable.",0
@femfreq someone ship this bitch to a lonely island,1
yo @femfreq when is the new episode,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
RT @dreameaterciel: @pixelgoth @opasx @femfreq even if I disagree with her sometimes she's still starting dialog and encouraging discussion,0
"@femfreq you are a cunt, so what is the problem",1
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
RT @femfreq: Our friend @imransiddiquee is making a film called Sea of Fog centering stories of people of color. Go help fund him! http://t…,0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@femfreq die you dumb bitch everyone is threatened in games thats what we do learn bitch,1
"@sigje I knooooow. She was, as @femfreq would say, the ball in other people's court. She was an object because she was not the subject.",0
"@femfreq Your pathetic. You can not silence freedom of speech. If I want to create a book, movie, or game, that caters to men so be it. CUNT",1
"@Cgpreisinger @iam8bit @femfreq what stereotype and yes i did read it, and when i see the hashtag, i dont see harassment",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@femfreq RETWEET ME OR I WILL BOMB YOUR HOUSE AT NIGHT!,1
"so that's the troll but where are the girls?

@iam8bit @femfreq @marieclaire",0
"Hope you get put in jail for being a con artist @femfreq you're a joke, you're a moron abs hope you get killed lol post my shit please",1
